Line,Hour,trips
Alamein,0,283
Alamein,1,144
Alamein,2,98
Alamein,3,98
Alamein,4,121
Alamein,5,428
Alamein,6,650
Alamein,7,845
Alamein,8,894
Alamein,9,861
Alamein,10,650
Alamein,11,630
Alamein,12,618
Alamein,13,630
Alamein,14,798
Alamein,15,888
Alamein,16,1012
Alamein,17,974
Alamein,18,855
Alamein,19,666
Alamein,20,447
Alamein,21,364
Alamein,22,364
Alamein,23,364
Belgrave,0,843
Belgrave,1,483
Belgrave,2,239
Belgrave,3,308
Belgrave,4,346
Belgrave,5,717
Belgrave,6,1185
Belgrave,7,1587
Belgrave,8,1640
Belgrave,9,1412
Belgrave,10,1517
Belgrave,11,1642
Belgrave,12,1680
Belgrave,13,1848
Belgrave,14,1812
Belgrave,15,1828
Belgrave,16,2033
Belgrave,17,2365
Belgrave,18,2089
Belgrave,19,1542
Belgrave,20,1047
Belgrave,21,1018
Belgrave,22,1006
Belgrave,23,1001
Craigieburn,0,712
Craigieburn,1,364
Craigieburn,2,238
Craigieburn,3,238
Craigieburn,4,363
Craigieburn,5,1021
Craigieburn,6,1686
Craigieburn,7,2217
Craigieburn,8,2415
Craigieburn,9,2077
Craigieburn,10,1577
Craigieburn,11,1510
Craigieburn,12,1513
Craigieburn,13,1544
Craigieburn,14,1586
Craigieburn,15,1804
Craigieburn,16,2290
Craigieburn,17,2326
Craigieburn,18,2178
Craigieburn,19,1752
Craigieburn,20,1052
Craigieburn,21,1021
Craigieburn,22,1182
Craigieburn,23,1130
Cranbourne,0,733
Cranbourne,1,187
Cranbourne,2,56
Cranbourne,3,66
Cranbourne,4,404
Cranbourne,5,876
Cranbourne,6,1218
Cranbourne,7,1858
Cranbourne,8,2122
Cranbourne,9,1714
Cranbourne,10,1493
Cranbourne,11,1482
Cranbourne,12,1482
Cranbourne,13,1482
Cranbourne,14,1518
Cranbourne,15,1746
Cranbourne,16,1679
Cranbourne,17,1777
Cranbourne,18,1828
Cranbourne,19,1712
Cranbourne,20,1627
Cranbourne,21,1675
Cranbourne,22,1709
Cranbourne,23,1635
Frankston,0,1869
Frankston,1,801
Frankston,2,392
Frankston,3,393
Frankston,4,746
Frankston,5,1985
Frankston,6,2855
Frankston,7,3986
Frankston,8,4534
Frankston,9,4630
Frankston,10,4304
Frankston,11,4617
Frankston,12,4680
Frankston,13,4695
Frankston,14,4741
Frankston,15,4682
Frankston,16,5020
Frankston,17,5193
Frankston,18,4963
Frankston,19,4225
Frankston,20,3046
Frankston,21,2720
Frankston,22,2885
Frankston,23,2790
Glen Waverley,0,446
Glen Waverley,1,180
Glen Waverley,2,160
Glen Waverley,3,160
Glen Waverley,4,181
Glen Waverley,5,592
Glen Waverley,6,858
Glen Waverley,7,1246
Glen Waverley,8,1534
Glen Waverley,9,1233
Glen Waverley,10,1148
Glen Waverley,11,1184
Glen Waverley,12,1205
Glen Waverley,13,1287
Glen Waverley,14,1278
Glen Waverley,15,1425
Glen Waverley,16,1489
Glen Waverley,17,1465
Glen Waverley,18,1497
Glen Waverley,19,1160
Glen Waverley,20,863
Glen Waverley,21,927
Glen Waverley,22,1026
Glen Waverley,23,1010
Hurstbridge,0,912
Hurstbridge,1,476
Hurstbridge,2,336
Hurstbridge,3,339
Hurstbridge,4,458
Hurstbridge,5,1225
Hurstbridge,6,2086
Hurstbridge,7,3043
Hurstbridge,8,3072
Hurstbridge,9,2370
Hurstbridge,10,1917
Hurstbridge,11,1927
Hurstbridge,12,1972
Hurstbridge,13,1959
Hurstbridge,14,1983
Hurstbridge,15,2094
Hurstbridge,16,2587
Hurstbridge,17,2620
Hurstbridge,18,2591
Hurstbridge,19,2129
Hurstbridge,20,1591
Hurstbridge,21,1545
Hurstbridge,22,1574
Hurstbridge,23,1478
Lilydale,0,518
Lilydale,1,362
Lilydale,2,268
Lilydale,3,140
Lilydale,4,335
Lilydale,5,764
Lilydale,6,1250
Lilydale,7,2215
Lilydale,8,2322
Lilydale,9,2120
Lilydale,10,2130
Lilydale,11,2163
Lilydale,12,2064
Lilydale,13,1584
Lilydale,14,1614
Lilydale,15,2346
Lilydale,16,2526
Lilydale,17,2836
Lilydale,18,2640
Lilydale,19,1824
Lilydale,20,1427
Lilydale,21,1105
Lilydale,22,1036
Lilydale,23,918
Mernda,0,934
Mernda,1,495
Mernda,2,350
Mernda,3,350
Mernda,4,716
Mernda,5,1505
Mernda,6,2100
Mernda,7,3022
Mernda,8,3687
Mernda,9,2973
Mernda,10,2370
Mernda,11,2126
Mernda,12,2185
Mernda,13,2205
Mernda,14,2205
Mernda,15,2825
Mernda,16,3155
Mernda,17,3267
Mernda,18,3065
Mernda,19,2309
Mernda,20,1681
Mernda,21,1541
Mernda,22,1721
Mernda,23,1671
Pakenham,0,1379
Pakenham,1,725
Pakenham,2,338
Pakenham,3,351
Pakenham,4,704
Pakenham,5,1263
Pakenham,6,1731
Pakenham,7,2403
Pakenham,8,3020
Pakenham,9,2627
Pakenham,10,2298
Pakenham,11,1872
Pakenham,12,1878
Pakenham,13,1900
Pakenham,14,1886
Pakenham,15,1968
Pakenham,16,2682
Pakenham,17,3001
Pakenham,18,2690
Pakenham,19,2263
Pakenham,20,2084
Pakenham,21,2141
Pakenham,22,2231
Pakenham,23,2251
Sandringham,0,692
Sandringham,1,224
Sandringham,2,196
Sandringham,3,196
Sandringham,4,209
Sandringham,5,609
Sandringham,6,1172
Sandringham,7,1701
Sandringham,8,1698
Sandringham,9,1230
Sandringham,10,1221
Sandringham,11,1274
Sandringham,12,1274
Sandringham,13,1281
Sandringham,14,1302
Sandringham,15,1465
Sandringham,16,1697
Sandringham,17,1879
Sandringham,18,1713
Sandringham,19,1385
Sandringham,20,1261
Sandringham,21,1258
Sandringham,22,1334
Sandringham,23,1299
Sunbury,0,1084
Sunbury,1,340
Sunbury,2,182
Sunbury,3,184
Sunbury,4,502
Sunbury,5,1218
Sunbury,6,1562
Sunbury,7,2753
Sunbury,8,3379
Sunbury,9,2734
Sunbury,10,2399
Sunbury,11,2340
Sunbury,12,2340
Sunbury,13,2340
Sunbury,14,2340
Sunbury,15,2406
Sunbury,16,3242
Sunbury,17,3240
Sunbury,18,3213
Sunbury,19,2298
Sunbury,20,2114
Sunbury,21,1964
Sunbury,22,1910
Sunbury,23,1967
Upfield,0,638
Upfield,1,301
Upfield,2,210
Upfield,3,210
Upfield,4,326
Upfield,5,897
Upfield,6,1147
Upfield,7,1305
Upfield,8,1329
Upfield,9,1266
Upfield,10,1329
Upfield,11,1326
Upfield,12,1335
Upfield,13,1356
Upfield,14,1327
Upfield,15,1316
Upfield,16,1352
Upfield,17,1460
Upfield,18,1389
Upfield,19,1162
Upfield,20,889
Upfield,21,960
Upfield,22,1044
Upfield,23,1074
Werribee,0,526
Werribee,1,213
Werribee,2,128
Werribee,3,131
Werribee,4,240
Werribee,5,800
Werribee,6,961
Werribee,7,1137
Werribee,8,1269
Werribee,9,1235
Werribee,10,1265
Werribee,11,1225
Werribee,12,1176
Werribee,13,1188
Werribee,14,1182
Werribee,15,1214
Werribee,16,1357
Werribee,17,1278
Werribee,18,1302
Werribee,19,1093
Werribee,20,962
Werribee,21,870
Werribee,22,918
Werribee,23,899
Williamstown,0,491
Williamstown,1,138
Williamstown,2,104
Williamstown,3,103
Williamstown,4,144
Williamstown,5,720
Williamstown,6,846
Williamstown,7,851
Williamstown,8,930
Williamstown,9,873
Williamstown,10,840
Williamstown,11,1002
Williamstown,12,1044
Williamstown,13,1044
Williamstown,14,1044
Williamstown,15,1052
Williamstown,16,1204
Williamstown,17,1260
Williamstown,18,1258
Williamstown,19,1097
Williamstown,20,770
Williamstown,21,634
Williamstown,22,660
Williamstown,23,661
